"filename", "language", "C++", "comment", "blank", "total"
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/include/Djikstra.h", "C++", 30, 1, 5, 36
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/include/DownloadData.h", "C++", 14, 0, 5, 19
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/include/Input.h", "C++", 18, 0, 2, 20
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/include/InputCodes.h", "C++", 114, 0, 4, 118
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/include/Node.h", "C++", 61, 0, 5, 66
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/include/Roads.h", "C++", 62, 1, 7, 70
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/include/Vec.h", "C++", 15, 0, 3, 18
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/include/visualization.h", "C++", 34, 0, 6, 40
"Total", "-", 348, 2, 37, 387
