"filename", "language", "C++", "comment", "blank", "total"
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/src/Djikstra.cpp", "C++", 52, 2, 3, 57
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/src/Roads.cpp", "C++", 6, 8, 0, 14
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Algorytmy II/Projekty/PR3/src/visualization.cpp", "C++", 47, -4, 6, 49
"Total", "-", 105, 6, 9, 120
